Unidade,Curso,Vagas,LB_PPI,LB_Q,LB_PCD,LB_EP,LI_PPI,LI_Q,LI_PCD,LI_EP,AC,Insc.,1ª Op.,2ª Op.,3ª Op.,Insc. / Vagas,Insc. Válidas.,Insc. Vál. / Vagas,Timestamp,Modalidade,Todas Op.,1ª Op. / Vagas,1ª Op. Homolog.,1ª Op. Homolog. / Vagas
Ouro Branco,Pedagogia (ENEM) (SUP),20,8,0,1,6,13,0,0,13,16,,28,18,11,,,,2025-08-22 07:00:51.185954,SUP,57.0,1.4,9.0,0.45
Ouro Branco,Pedagogia (Histórico e Redação) (SUP),15,10,0,1,10,15,0,2,12,21,,36,28,10,,,,2025-08-22 07:00:51.185954,SUP,74.0,2.4,5.0,0.33
Ouro Preto,Conservação e Restauro (ENEM) (SUP),15,2,0,1,0,3,0,0,3,7,,12,3,2,,,,2025-08-22 07:00:51.185954,SUP,17.0,0.8,6.0,0.4
Ouro Preto,Conservação e Restauro (Histórico e Redação) (SUP),15,5,0,0,2,0,0,0,2,10,,6,10,5,,,,2025-08-22 07:00:51.185954,SUP,21.0,0.4,1.0,0.07
Ouro Preto,Física (ENEM) (SUP),10,2,0,0,0,0,0,0,0,5,,1,3,3,,,,2025-08-22 07:00:51.185954,SUP,7.0,0.1,0.0,0.0
Ouro Preto,Física (Histórico e Redação) (SUP),5,1,0,0,1,2,0,1,1,1,,3,1,3,,,,2025-08-22 07:00:51.185954,SUP,7.0,0.6,0.0,0.0
Ouro Preto,Geografia (ENEM) (SUP),20,3,0,0,2,0,0,0,3,6,,8,6,0,,,,2025-08-22 07:00:51.185954,SUP,14.0,0.4,1.0,0.05
Ouro Preto,Geografia (Histórico e Redação) (SUP),10,5,0,0,1,0,0,0,3,5,,6,6,2,,,,2025-08-22 07:00:51.185954,SUP,14.0,0.6,3.0,0.3
Ouro Preto,Análise e Desenvolvimento de Sistemas (ENEM) (SUP),15,7,0,1,2,6,0,0,11,20,,27,13,8,,,,2025-08-22 07:00:51.185954,SUP,48.0,1.8,11.0,0.73
Ouro Preto,Análise e Desenvolvimento de Sistemas (Histórico e Redação) (SUP),5,7,0,1,2,6,0,0,11,18,,18,22,5,,,,2025-08-22 07:00:51.185954,SUP,45.0,3.6,2.0,0.4
Ouro Preto,Gestão da Qualidade (ENEM) (SUP),18,10,0,0,1,9,0,0,7,11,,19,7,12,,,,2025-08-22 07:00:51.185954,SUP,38.0,1.06,3.0,0.17
Piumhi,Engenharia Civil (ENEM) (SUP),10,0,0,0,0,2,0,0,1,2,,3,2,0,,,,2025-08-22 07:00:51.185954,SUP,5.0,0.3,0.0,0.0
Piumhi,Engenharia Civil (Histórico e Redação) (SUP),10,1,0,0,0,4,0,1,3,2,,10,1,0,,,,2025-08-22 07:00:51.185954,SUP,11.0,1.0,1.0,0.1
Ponte Nova,Processos Gerenciais (ENEM) (SUP),15,2,0,0,1,5,0,0,3,5,,12,6,0,,,,2025-08-22 07:00:51.185954,SUP,18.0,0.8,2.0,0.13
Ponte Nova,Processos Gerenciais (Histórico e Redação) (SUP),15,2,0,0,5,5,0,0,3,8,,15,10,0,,,,2025-08-22 07:00:51.185954,SUP,25.0,1.0,1.0,0.07
Ribeirão das Neves,Administração (ENEM) (SUP),20,8,0,0,6,13,0,0,11,28,,42,25,0,,,,2025-08-22 07:00:51.185954,SUP,67.0,2.1,5.0,0.25
Ribeirão das Neves,Processos Gerenciais (ENEM) (SUP),18,11,0,0,5,13,0,1,13,29,,43,30,0,,,,2025-08-22 07:00:51.185954,SUP,73.0,2.39,6.0,0.33
Sabará,Administração (ENEM) (SUP),10,8,0,0,9,18,0,0,7,16,,26,17,17,,,,2025-08-22 07:00:51.185954,SUP,60.0,2.6,4.0,0.4
Sabará,Administração (Histórico e Redação) (SUP),10,13,0,0,4,25,0,0,6,26,,31,29,15,,,,2025-08-22 07:00:51.185954,SUP,75.0,3.1,7.0,0.7
Sabará,Engenharia de Controle e Automação (ENEM) (SUP),10,6,0,0,0,11,0,0,15,13,,21,13,12,,,,2025-08-22 07:00:51.185954,SUP,46.0,2.1,8.0,0.8
Sabará,Engenharia de Controle e Automação (Histórico e Redação) (SUP),20,15,0,0,4,19,0,1,16,29,,38,25,22,,,,2025-08-22 07:00:51.185954,SUP,85.0,1.9,9.0,0.45
Sabará,Sistemas de Informação (ENEM) (SUP),10,13,0,0,7,17,0,1,19,35,,34,42,18,,,,2025-08-22 07:00:51.185954,SUP,94.0,3.4,11.0,1.1
Sabará,Sistemas de Informação (Histórico e Redação) (SUP),20,17,0,0,7,23,0,1,21,38,,52,38,17,,,,2025-08-22 07:00:51.185954,SUP,107.0,2.6,21.0,1.05
Sabará,Logística (ENEM) (SUP),10,2,0,0,4,8,0,0,1,11,,5,12,10,,,,2025-08-22 07:00:51.185954,SUP,27.0,0.5,2.0,0.2
Sabará,Logística (Histórico e Redação) (SUP),30,3,0,0,4,13,0,0,3,19,,19,12,12,,,,2025-08-22 07:00:51.185954,SUP,43.0,0.63,6.0,0.2
São João Evangelista,Administração (ENEM) (SUP),15,7,0,0,11,8,0,0,8,22,,19,18,19,,,,2025-08-22 07:00:51.185954,SUP,56.0,1.27,5.0,0.33
São João Evangelista,Administração (Histórico e Redação) (SUP),15,18,0,0,9,14,0,0,18,18,,38,15,24,,,,2025-08-22 07:00:51.185954,SUP,77.0,2.53,7.0,0.47
São João Evangelista,Agronomia (ENEM) (SUP),15,9,0,0,10,2,0,0,8,11,,16,16,9,,,,2025-08-22 07:00:51.185954,SUP,41.0,1.07,2.0,0.13
São João Evangelista,Agronomia (Histórico e Redação) (SUP),15,8,0,0,11,7,0,1,12,15,,26,21,7,,,,2025-08-22 07:00:51.185954,SUP,54.0,1.73,5.0,0.33
São João Evangelista,Engenharia Florestal (ENEM) (SUP),15,7,0,0,10,4,0,0,1,9,,9,10,14,,,,2025-08-22 07:00:51.185954,SUP,33.0,0.6,0.0,0.0
São João Evangelista,Engenharia Florestal (Histórico e Redação) (SUP),15,8,0,0,7,6,0,0,7,11,,9,17,13,,,,2025-08-22 07:00:51.185954,SUP,39.0,0.6,0.0,0.0
São João Evangelista,Sistemas de Informação (ENEM) (SUP),15,11,0,0,4,6,0,0,4,9,,15,13,6,,,,2025-08-22 07:00:51.185954,SUP,34.0,1.0,1.0,0.07
São João Evangelista,Sistemas de Informação (Histórico e Redação) (SUP),15,11,0,0,7,9,0,0,6,12,,26,10,10,,,,2025-08-22 07:00:51.185954,SUP,46.0,1.73,7.0,0.47
São João Evangelista,Ciências Biológicas (ENEM) (SUP),15,6,0,0,11,3,0,0,4,8,,13,14,7,,,,2025-08-22 07:00:51.185954,SUP,34.0,0.87,3.0,0.2
São João Evangelista,Ciências Biológicas (Histórico e Redação) (SUP),15,9,0,0,7,7,0,1,4,7,,8,17,10,,,,2025-08-22 07:00:51.185954,SUP,35.0,0.53,0.0,0.0
São João Evangelista,Matemática (ENEM) (SUP),15,3,0,0,0,1,0,0,1,3,,0,5,3,,,,2025-08-22 07:00:51.185954,SUP,8.0,0.0,0.0,0.0
São João Evangelista,Matemática (Histórico e Redação) (SUP),15,3,0,0,3,3,0,1,4,2,,6,5,5,,,,2025-08-22 07:00:51.185954,SUP,16.0,0.4,0.0,0.0
São João Evangelista,Pedagogia (ENEM) (SUP),15,6,0,0,8,5,0,0,3,8,,14,11,7,,,,2025-08-22 07:00:51.185954,SUP,32.0,0.93,1.0,0.07
São João Evangelista,Pedagogia (Histórico e Redação) (SUP),15,10,0,0,6,8,0,0,10,7,,19,15,8,,,,2025-08-22 07:00:51.185954,SUP,42.0,1.27,4.0,0.27
Santa Luzia,Arquitetura e Urbanismo (ENEM) (SUP),20,10,0,0,8,15,0,1,13,28,,24,38,13,,,,2025-08-22 07:00:51.185954,SUP,75.0,1.2,7.0,0.35
Santa Luzia,Arquitetura e Urbanismo (Histórico e Redação) (SUP),10,20,0,1,8,17,0,0,14,39,,37,46,17,,,,2025-08-22 07:00:51.185954,SUP,100.0,3.7,9.0,0.9
Santa Luzia,Engenharia Civil (ENEM) (SUP),20,15,0,1,4,16,0,1,15,25,,46,20,12,,,,2025-08-22 07:00:51.185954,SUP,78.0,2.3,6.0,0.3
Santa Luzia,Engenharia Civil (Histórico e Redação) (SUP),10,28,0,0,6,27,0,1,20,30,,65,32,16,,,,2025-08-22 07:00:51.185954,SUP,113.0,6.5,15.0,1.5
Santa Luzia,Design de Interiores (ENEM) (SUP),20,9,0,0,1,10,0,1,4,15,,12,9,20,,,,2025-08-22 07:00:51.185954,SUP,41.0,0.6,2.0,0.1
Santa Luzia,Design de Interiores (Histórico e Redação) (SUP),10,18,0,0,7,16,0,0,8,24,,19,19,36,,,,2025-08-22 07:00:51.185954,SUP,74.0,1.9,2.0,0.2
Todos,Todos,1453,603,2,17,456,818,3,46,966,1526,,2150,1550,823,,,,2025-08-22 07:00:51.185954,SUP,4523.0,1.48,599.0,0.41
Arcos,Técnico Integrado em Administração (INT),45,6,1,1,19,12,0,0,19,58,,77,43,0,,,,2025-08-22 12:00:42.747746,INT,120.0,1.71,30.0,0.67
Arcos,Técnico Integrado em Mecânica (INT),45,6,1,1,17,10,0,0,19,50,,51,56,0,,,,2025-08-22 12:00:42.747746,INT,107.0,1.13,23.0,0.51
Bambuí,Técnico Integrado em Administração (INT),40,7,0,0,10,4,0,2,19,35,,30,23,27,,,,2025-08-22 12:00:42.747746,INT,80.0,0.75,12.0,0.3
Bambuí,Técnico Integrado em Agroindústria (INT),30,2,0,1,4,6,0,0,16,25,,5,37,12,,,,2025-08-22 12:00:42.747746,INT,54.0,0.17,2.0,0.07
Bambuí,Técnico Integrado em Agropecuária (INT),90,7,0,1,13,7,0,1,31,46,,90,10,6,,,,2025-08-22 12:00:42.747746,INT,106.0,1.0,45.0,0.5
Bambuí,Técnico Integrado em Biotecnologia (INT),30,5,0,1,8,8,0,1,18,28,,20,29,21,,,,2025-08-22 12:00:42.747746,INT,70.0,0.67,14.0,0.47
Bambuí,Técnico Integrado em Eletromecânica (INT),32,5,0,1,3,3,0,0,5,12,,10,8,13,,,,2025-08-22 12:00:42.747746,INT,31.0,0.31,4.0,0.13
Bambuí,Técnico Integrado em Informática (INT),35,7,0,2,7,4,0,2,17,29,,19,25,27,,,,2025-08-22 12:00:42.747746,INT,71.0,0.54,8.0,0.23
Betim,Técnico Integrado em Automação Industrial (INT),66,166,1,7,136,200,2,11,252,537,,544,556,238,,,,2025-08-22 12:00:42.747746,INT,1338.0,8.24,172.0,2.61
Betim,Técnico Integrado em Mecânica (INT),66,158,2,9,130,193,2,7,242,501,,364,553,353,,,,2025-08-22 12:00:42.747746,INT,1270.0,5.52,105.0,1.59
Betim,Técnico Integrado em Química (INT),66,153,1,5,135,197,2,8,222,512,,609,209,442,,,,2025-08-22 12:00:42.747746,INT,1260.0,9.23,186.0,2.82
Congonhas,Técnico Integrado em Edificações (INT),70,47,0,2,32,71,0,2,67,105,,164,103,79,,,,2025-08-22 12:00:42.747746,INT,346.0,2.34,66.0,0.94
Congonhas,Técnico Integrado em Mecânica (INT),35,41,0,2,35,69,0,2,63,99,,107,110,115,,,,2025-08-22 12:00:42.747746,INT,332.0,3.06,35.0,1.0
Congonhas,Técnico Integrado em Mineração (INT),35,42,0,2,38,69,0,2,68,102,,118,132,95,,,,2025-08-22 12:00:42.747746,INT,345.0,3.37,45.0,1.29
Formiga,Técnico Integrado em Administração (INT),40,4,0,0,17,12,0,1,40,43,,56,34,28,,,,2025-08-22 12:00:42.747746,INT,118.0,1.4,17.0,0.43
Formiga,Técnico Integrado em Eletrotécnica (INT),35,3,0,0,12,10,0,0,30,34,,14,31,45,,,,2025-08-22 12:00:42.747746,INT,90.0,0.4,3.0,0.09
Formiga,Técnico Integrado em Informática (INT),40,4,0,0,13,12,0,1,39,44,,57,44,13,,,,2025-08-22 12:00:42.747746,INT,114.0,1.43,20.0,0.5
Governador Valadares,Técnico Integrado em Edificações (INT),40,33,0,4,19,69,0,0,65,165,,114,103,146,,,,2025-08-22 12:00:42.747746,INT,363.0,2.85,49.0,1.23
Governador Valadares,Técnico Integrado em Meio Ambiente (INT),40,31,0,4,25,72,0,0,65,171,,145,133,102,,,,2025-08-22 12:00:42.747746,INT,380.0,3.63,60.0,1.5
Governador Valadares,Técnico Integrado em Segurança do Trabalho (INT),40,36,0,4,22,74,0,0,66,174,,165,143,76,,,,2025-08-22 12:00:42.747746,INT,384.0,4.13,65.0,1.63
Ibirité,Técnico Integrado em Automação Industrial (INT),40,49,0,1,49,53,0,1,64,182,,108,134,168,,,,2025-08-22 12:00:42.747746,INT,410.0,2.7,39.0,0.98
Ibirité,Técnico Integrado em Informática (INT),40,59,0,1,69,61,0,1,71,216,,263,150,80,,,,2025-08-22 12:00:42.747746,INT,493.0,6.58,71.0,1.78
Ibirité,Técnico Integrado em Mecatrônica (INT),40,50,0,1,43,51,0,1,65,171,,125,156,112,,,,2025-08-22 12:00:42.747746,INT,393.0,3.13,40.0,1.0
Ibirité,Técnico Integrado em Sistemas de Energia Renovável (INT),40,43,0,0,41,37,0,0,41,134,,81,98,125,,,,2025-08-22 12:00:42.747746,INT,304.0,2.03,26.0,0.65
Ipatinga,Técnico Integrado em Automação Industrial (INT),40,49,0,2,33,77,0,1,108,115,,264,132,0,,,,2025-08-22 12:00:42.747746,INT,396.0,6.6,75.0,1.88
Ipatinga,Técnico Integrado em Eletrotécnica (INT),40,48,0,2,32,75,0,1,97,114,,149,232,0,,,,2025-08-22 12:00:42.747746,INT,381.0,3.73,40.0,1.0
Itabirito,Técnico Integrado em Automação Industrial (INT),70,22,0,2,11,36,0,4,47,49,,181,0,0,,,,2025-08-22 12:00:42.747746,INT,181.0,2.59,54.0,0.77
Conselheiro Lafaiete,Técnico Integrado em Eletrotécnica (INT),40,28,0,2,19,53,0,1,77,64,,165,94,0,,,,2025-08-22 12:00:42.747746,INT,259.0,4.13,66.0,1.65
Conselheiro Lafaiete,Técnico Integrado em Mecânica (INT),40,29,0,2,20,50,0,1,70,63,,109,141,0,,,,2025-08-22 12:00:42.747746,INT,250.0,2.73,41.0,1.03
Ouro Branco,Técnico Integrado em Administração (INT),35,26,0,0,32,58,1,2,115,153,,207,156,58,,,,2025-08-22 12:00:42.747746,INT,421.0,5.91,97.0,2.77
Ouro Branco,Técnico Integrado em Informática (INT),35,27,0,0,32,61,1,1,107,153,,186,166,65,,,,2025-08-22 12:00:42.747746,INT,417.0,5.31,86.0,2.46
Ouro Branco,Técnico Integrado em Metalurgia (INT),35,25,0,0,29,51,1,2,99,121,,64,90,205,,,,2025-08-22 12:00:42.747746,INT,359.0,1.83,22.0,0.63
Ouro Preto,Técnico Integrado em Administração (INT),60,63,1,0,23,80,1,0,79,160,,209,133,92,,,,2025-08-22 12:00:42.747746,INT,434.0,3.48,78.0,1.3
Ouro Preto,Técnico Integrado em Automação Industrial (INT),80,48,1,0,25,80,0,0,74,139,,170,119,99,,,,2025-08-22 12:00:42.747746,INT,388.0,2.13,84.0,1.05
Ouro Preto,Técnico Integrado em Edificações (INT),90,46,0,0,20,75,0,0,87,157,,134,152,124,,,,2025-08-22 12:00:42.747746,INT,410.0,1.49,59.0,0.66
Ouro Preto,Técnico Integrado em Metalurgia (INT),90,37,0,0,14,66,0,0,59,100,,55,90,139,,,,2025-08-22 12:00:42.747746,INT,284.0,0.61,17.0,0.19
Ouro Preto,Técnico Integrado em Mineração (INT),90,67,1,0,21,102,1,0,99,167,,135,175,169,,,,2025-08-22 12:00:42.747746,INT,479.0,1.5,38.0,0.42
Piumhi,Técnico Integrado em Edificações (INT),80,6,0,0,8,9,0,0,20,24,,69,0,0,,,,2025-08-22 12:00:42.747746,INT,69.0,0.86,36.0,0.45
Ponte Nova,Técnico Integrado em Administração (INT),40,83,0,1,38,79,1,3,99,98,,216,239,0,,,,2025-08-22 12:00:42.747746,INT,455.0,5.4,47.0,1.18
Ponte Nova,Técnico Integrado em Informática (INT),75,85,0,2,37,83,1,2,108,107,,288,190,0,,,,2025-08-22 12:00:42.747746,INT,478.0,3.84,97.0,1.29
Ribeirão das Neves,Técnico Integrado em Administração (INT),70,108,1,4,71,129,0,4,108,295,,328,229,182,,,,2025-08-22 12:00:42.747746,INT,739.0,4.69,100.0,1.43
Ribeirão das Neves,Técnico Integrado em Eletroeletrônica (INT),35,91,1,3,59,121,0,3,88,256,,98,237,309,,,,2025-08-22 12:00:42.747746,INT,644.0,2.8,32.0,0.91
Ribeirão das Neves,Técnico Integrado em Informática (INT),70,112,1,5,75,132,0,3,104,296,,381,263,110,,,,2025-08-22 12:00:42.747746,INT,754.0,5.44,114.0,1.63
Sabará,Técnico Integrado em Administração (INT),35,78,0,5,47,90,1,3,109,241,,265,130,197,,,,2025-08-22 12:00:42.747746,INT,592.0,7.57,68.0,1.94
Sabará,Técnico Integrado em Eletrônica (INT),70,81,0,4,43,88,1,3,103,223,,160,212,191,,,,2025-08-22 12:00:42.747746,INT,563.0,2.29,41.0,0.59
Sabará,Técnico Integrado em Informática (INT),35,85,0,4,49,91,1,3,117,245,,234,259,118,,,,2025-08-22 12:00:42.747746,INT,611.0,6.69,93.0,2.66
São João Evangelista,Técnico Integrado em Agrimensura (INT),40,73,1,2,55,83,0,4,81,69,,39,168,174,,,,2025-08-22 12:00:42.747746,INT,381.0,0.98,8.0,0.2
São João Evangelista,Técnico Integrado em Agropecuária (INT),70,103,2,3,69,93,1,4,106,91,,264,158,85,,,,2025-08-22 12:00:42.747746,INT,507.0,3.77,79.0,1.13
São João Evangelista,Técnico Integrado em Informática (INT),70,73,2,3,59,91,2,3,88,78,,185,119,124,,,,2025-08-22 12:00:42.747746,INT,428.0,2.64,63.0,0.9
São João Evangelista,Técnico Integrado em Nutrição e Dietética (INT),70,95,1,4,66,94,2,0,112,70,,194,151,133,,,,2025-08-22 12:00:42.747746,INT,478.0,2.77,48.0,0.69
Santa Luzia,Técnico Integrado em Edificações (INT),80,100,0,0,44,94,1,3,89,252,,391,203,0,,,,2025-08-22 12:00:42.747746,INT,594.0,4.89,125.0,1.56
Santa Luzia,Técnico Integrado em Segurança do Trabalho (INT),40,99,0,0,46,92,1,2,74,248,,248,325,0,,,,2025-08-22 12:00:42.747746,INT,573.0,6.2,61.0,1.53
Todos,Todos,2705,2751,18,100,1974,3537,23,96,4128,7621,,8724,7483,4897,,,,2025-08-22 12:00:42.747746,INT,21104.0,3.23,2906.0,1.07
Bambuí,Técnico Subsequente em Agropecuária (SUB),30,4,0,1,5,6,0,0,2,12,,21,11,0,,,,2025-08-22 12:00:42.747746,SUB,32.0,0.7,21.0,0.7
Bambuí,Técnico Subsequente em Manutenção Automotiva (SUB),18,4,0,1,3,4,0,0,1,6,,14,7,0,,,,2025-08-22 12:00:42.747746,SUB,21.0,0.78,14.0,0.78
Congonhas,Técnico Subsequente em Edificações (SUB),35,11,0,0,6,7,0,1,12,24,,23,23,18,,,,2025-08-22 12:00:42.747746,SUB,64.0,0.66,23.0,0.66
Congonhas,Técnico Subsequente em Mecânica (SUB),35,9,0,0,7,14,0,1,9,19,,29,17,15,,,,2025-08-22 12:00:42.747746,SUB,61.0,0.83,29.0,0.83
Congonhas,Técnico Subsequente em Mineração (SUB),35,11,0,0,8,10,0,1,13,25,,37,22,11,,,,2025-08-22 12:00:42.747746,SUB,70.0,1.06,37.0,1.06
Governador Valadares,Técnico Subsequente em Segurança do Trabalho (SUB),40,14,0,1,6,8,0,1,7,22,,61,0,0,,,,2025-08-22 12:00:42.747746,SUB,61.0,1.53,61.0,1.53
Conselheiro Lafaiete,Técnico Subsequente em Eletrotécnica (SUB),40,9,0,0,7,25,0,0,12,46,,75,26,0,,,,2025-08-22 12:00:42.747746,SUB,101.0,1.88,75.0,1.88
Conselheiro Lafaiete,Técnico Subsequente em Mecânica (SUB),40,9,0,0,7,18,0,0,17,43,,40,56,0,,,,2025-08-22 12:00:42.747746,SUB,96.0,1.0,40.0,1.0
Ouro Branco,Técnico Subsequente em Metalurgia (SUB),40,1,0,0,1,4,0,0,4,10,,21,0,0,,,,2025-08-22 12:00:42.747746,SUB,21.0,0.53,21.0,0.53
Ouro Preto,Técnico Subsequente em Edificações (SUB),30,16,0,2,4,14,0,0,10,44,,25,33,33,,,,2025-08-22 12:00:42.747746,SUB,91.0,0.83,25.0,0.83
Ouro Preto,Técnico Subsequente em Joalheria (SUB),12,2,0,0,2,3,0,0,3,22,,16,11,6,,,,2025-08-22 12:00:42.747746,SUB,33.0,1.33,16.0,1.33
Ouro Preto,Técnico Subsequente em Meio Ambiente (SUB),30,16,0,1,5,13,0,0,10,69,,32,56,28,,,,2025-08-22 12:00:42.747746,SUB,116.0,1.07,32.0,1.07
Ouro Preto,Técnico Subsequente em Metalurgia (SUB),20,11,0,1,5,8,0,2,8,28,,15,19,32,,,,2025-08-22 12:00:42.747746,SUB,66.0,0.75,15.0,0.75
Ouro Preto,Técnico Subsequente em Mineração (SUB),30,20,0,1,5,22,0,2,16,49,,52,40,28,,,,2025-08-22 12:00:42.747746,SUB,120.0,1.73,52.0,1.73
Ouro Preto,Técnico Subsequente em Segurança do Trabalho (SUB),70,23,0,1,8,21,0,2,18,67,,88,27,27,,,,2025-08-22 12:00:42.747746,SUB,142.0,1.26,88.0,1.26
Ribeirão das Neves,Técnico Subsequente em Logística (SUB),120,130,1,6,84,102,0,12,109,756,,1227,0,0,,,,2025-08-22 12:00:42.747746,SUB,1227.0,10.23,1227.0,10.23
Santa Luzia,Técnico Subsequente em Segurança do Trabalho (SUB),40,20,1,1,10,18,1,1,5,50,,108,0,0,,,,2025-08-22 12:00:42.747746,SUB,108.0,2.7,108.0,2.7
Todos,Todos,665,310,2,16,173,297,1,23,256,1292,,1884,348,198,,,,2025-08-22 12:00:42.747746,SUB,2430.0,2.83,1884.0,2.83
Arcos,Engenharia Mecânica (ENEM) (SUP),30,7,0,0,2,6,0,0,10,10,,36,0,0,,,,2025-08-22 12:00:42.747746,SUP,36.0,1.2,18.0,0.6
Bambuí,Administração (ENEM) (SUP),25,1,0,0,8,3,0,0,7,12,,14,16,4,,,,2025-08-22 12:00:42.747746,SUP,34.0,0.56,2.0,0.08
Bambuí,Agronomia (ENEM) (SUP),30,3,0,0,12,5,0,1,32,29,,37,21,26,,,,2025-08-22 12:00:42.747746,SUP,84.0,1.23,17.0,0.57
Bambuí,Engenharia de Alimentos (ENEM) (SUP),15,0,0,0,0,2,0,0,0,3,,2,1,2,,,,2025-08-22 12:00:42.747746,SUP,5.0,0.13,2.0,0.13
Bambuí,Engenharia da Computação (ENEM) (SUP),15,2,0,0,4,4,0,0,5,10,,12,8,6,,,,2025-08-22 12:00:42.747746,SUP,26.0,0.8,5.0,0.33
Bambuí,Engenharia da Computação (Histórico e Redação) (SUP),3,2,0,1,0,4,0,1,5,5,,7,4,7,,,,2025-08-22 12:00:42.747746,SUP,18.0,2.33,0.0,0.0
Bambuí,Engenharia de Alimentos (Histórico e Redação) (SUP),15,1,0,1,0,1,0,0,3,1,,3,2,3,,,,2025-08-22 12:00:42.747746,SUP,8.0,0.2,1.0,0.07
Bambuí,Engenharia de Produção (ENEM) (SUP),20,0,0,0,0,2,0,0,3,3,,0,3,5,,,,2025-08-22 12:00:42.747746,SUP,8.0,0.0,0.0,0.0
Bambuí,Medicina Veterinária (ENEM) (SUP),25,9,0,0,27,13,0,2,40,63,,125,22,11,,,,2025-08-22 12:00:42.747746,SUP,158.0,5.0,45.0,1.8
Bambuí,Zootecnia (ENEM) (SUP),22,2,0,0,8,8,0,1,20,27,,8,39,22,,,,2025-08-22 12:00:42.747746,SUP,69.0,0.36,3.0,0.14
Bambuí,Ciências Biológicas (ENEM) (SUP),15,2,0,0,7,2,0,0,7,11,,6,14,12,,,,2025-08-22 12:00:42.747746,SUP,32.0,0.4,3.0,0.2
Bambuí,Ciências Biológicas (Histórico e Redação) (SUP),12,3,0,0,7,4,0,0,7,8,,9,10,11,,,,2025-08-22 12:00:42.747746,SUP,30.0,0.75,1.0,0.08
Bambuí,Educação Física (ENEM) (SUP),10,1,0,0,4,1,0,0,3,11,,10,5,8,,,,2025-08-22 12:00:42.747746,SUP,23.0,1.0,3.0,0.3
Bambuí,Educação Física (Histórico e Redação) (SUP),15,3,0,1,5,1,0,0,6,8,,18,7,1,,,,2025-08-22 12:00:42.747746,SUP,26.0,1.2,8.0,0.53
Bambuí,Física (ENEM) (SUP),14,0,0,0,1,0,0,0,1,0,,0,1,1,,,,2025-08-22 12:00:42.747746,SUP,2.0,0.0,0.0,0.0
Bambuí,Física (Histórico e Redação) (SUP),12,1,0,0,1,0,0,0,2,1,,2,1,3,,,,2025-08-22 12:00:42.747746,SUP,6.0,0.17,0.0,0.0
Betim,Engenharia de Controle e Automação (ENEM) (SUP),20,34,0,1,11,37,0,5,42,60,,105,86,0,,,,2025-08-22 12:00:42.747746,SUP,191.0,5.25,33.0,1.65
Betim,Engenharia Mecânica (ENEM) (SUP),20,35,0,1,11,33,0,4,45,62,,107,85,0,,,,2025-08-22 12:00:42.747746,SUP,192.0,5.35,31.0,1.55
Congonhas,Engenharia de Produção (ENEM) (SUP),20,5,0,0,5,9,1,3,12,30,,57,4,5,,,,2025-08-22 12:00:42.747746,SUP,66.0,2.85,21.0,1.05
Congonhas,Física (ENEM) (SUP),10,1,0,0,1,1,0,1,3,9,,1,11,4,,,,2025-08-22 12:00:42.747746,SUP,16.0,0.1,1.0,0.1
Congonhas,Física (Histórico e Redação) (SUP),10,1,0,0,0,2,0,0,2,7,,1,8,3,,,,2025-08-22 12:00:42.747746,SUP,12.0,0.1,0.0,0.0
Congonhas,Letras (Português Inglês) (ENEM) (SUP),10,2,0,0,2,3,1,2,3,12,,8,8,9,,,,2025-08-22 12:00:42.747746,SUP,25.0,0.8,2.0,0.2
Congonhas,Letras (Português Inglês) (Histórico e Redação) (SUP),10,2,0,0,2,1,1,2,6,6,,13,5,2,,,,2025-08-22 12:00:42.747746,SUP,20.0,1.3,1.0,0.1
Formiga,Administração (ENEM) (SUP),15,1,0,0,6,4,0,0,11,14,,11,13,12,,,,2025-08-22 12:00:42.747746,SUP,36.0,0.73,4.0,0.27
Formiga,Administração (Histórico e Redação) (SUP),15,2,0,1,5,11,0,0,11,16,,35,4,7,,,,2025-08-22 12:00:42.747746,SUP,46.0,2.33,6.0,0.4
Formiga,Ciência da Computação (ENEM) (SUP),20,1,0,0,15,5,0,0,16,17,,36,14,5,,,,2025-08-22 12:00:42.747746,SUP,55.0,1.8,9.0,0.45
Formiga,Ciência da Computação (Histórico e Redação) (SUP),8,2,0,1,11,9,0,0,22,19,,24,33,8,,,,2025-08-22 12:00:42.747746,SUP,65.0,3.0,9.0,1.13
Formiga,Engenharia Elétrica (ENEM) (SUP),12,1,0,0,3,5,0,0,6,4,,5,10,5,,,,2025-08-22 12:00:42.747746,SUP,20.0,0.42,1.0,0.08
Formiga,Engenharia Elétrica (Histórico e Redação) (SUP),14,0,0,2,0,9,0,0,13,15,,19,12,8,,,,2025-08-22 12:00:42.747746,SUP,39.0,1.36,8.0,0.57
Formiga,Matemática (ENEM) (SUP),15,0,0,0,1,1,0,0,5,1,,0,2,6,,,,2025-08-22 12:00:42.747746,SUP,8.0,0.0,0.0,0.0
Formiga,Matemática (Histórico e Redação) (SUP),10,1,0,0,1,2,0,0,7,5,,3,6,7,,,,2025-08-22 12:00:42.747746,SUP,16.0,0.3,0.0,0.0
Governador Valadares,Engenharia Ambiental e Sanitária (ENEM) (SUP),15,3,0,0,1,8,0,0,6,5,,6,8,9,,,,2025-08-22 12:00:42.747746,SUP,23.0,0.4,2.0,0.13
